GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
retailbanking,com.bank.retailbanking.exception,GlobalExceptionHandler,14,0,0,0,2,0,2,0,2,0
retailbanking,com.bank.retailbanking.exception,GeneralException,0,4,0,0,0,2,0,1,0,1
retailbanking,com.bank.retailbanking.exception,ErrorResponse,12,0,0,0,6,0,2,0,2,0
retailbanking,com.bank.retailbanking.entity,Customer,41,18,0,0,7,3,12,5,12,5
retailbanking,com.bank.retailbanking.entity,CustomerTransactions,6,46,0,0,2,7,2,13,2,13
retailbanking,com.bank.retailbanking.entity,CustomerAccountDetails,9,29,0,0,3,4,3,8,3,8
retailbanking,com.bank.retailbanking.configuration,SwaggerConfig,15,0,0,0,6,0,2,0,2,0
retailbanking,com.bank.retailbanking,RetailbankingApplication,8,0,0,0,3,0,2,0,2,0
retailbanking,com.bank.retailbanking.constants,ApplicationConstants,0,4,0,0,0,1,0,1,0,1
retailbanking,com.bank.retailbanking.controller,LoginController,0,41,0,2,0,9,0,4,0,3
retailbanking,com.bank.retailbanking.controller,AccountSummaryController,0,29,0,0,0,7,0,3,0,3
retailbanking,com.bank.retailbanking.dto,AccountSummaryResponse,15,23,0,0,5,2,5,6,5,6
retailbanking,com.bank.retailbanking.dto,AccountSummaryResponsedto,15,23,0,0,5,2,5,6,5,6
retailbanking,com.bank.retailbanking.dto,LoginResponsedto,9,15,0,0,3,2,3,4,3,4
retailbanking,com.bank.retailbanking.dto,LoginRequestdto,0,17,0,0,0,4,0,5,0,5
retailbanking,com.bank.retailbanking.service,AccountSummaryServiceImplementation,0,117,0,4,0,28,0,6,0,4
retailbanking,com.bank.retailbanking.service,LoginServiceImplementation,0,42,0,2,0,11,0,4,0,3
